RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player?s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Marc Gasol,Lal,C,35.96,13,19.7,41,10.6,28.1,16,0.875,19,0.579,20,0.35,0.551,0.619,4.4,5.2,14.1,2.2,13.1,0.54,1.62,1.38,7.5,112.6,91.5
,Jeff Green,Bro,F,34.38,13,20.8,43.4,10.4,13.6,7,0.714,23,0.696,31,0.452,0.685,0.692,6.1,2.7,6.8,1.1,6.7,0.54,0.15,0.69,5.1,124.6,106.1
,Montrezl Harrell,Lal,F-C,26.97,13,24.4,50.9,20.6,10.4,48,0.729,113,0.628,4,0,0.607,0.641,13.6,7.5,16.4,0.9,5.5,0.54,0.54,1.23,7.4,127.2,98.8
,Joe Harris,Bro,G-F,29.36,13,28.9,60.3,17.7,8.3,8,0.5,64,0.547,76,0.5,0.657,0.655,14.5,3.6,6.5,2.2,10.8,0.69,0.31,1,6.7,124.1,106
,LeBron James,Lal,F,36.04,13,31.9,66.5,32.6,14.4,74,0.703,157,0.535,83,0.386,0.55,0.58,24.3,8,13.3,7.5,37.4,0.77,0.38,3.54,14.2,113.9,102.3
,Kyle Kuzma,Lal,F,25.48,13,25,52.1,19.2,14.3,9,0.667,61,0.508,61,0.377,0.537,0.544,10.5,4.6,9.8,1.2,6.7,0.23,0.77,1.62,6.2,100.8,101.2
,Timothe Luwawu-Cabarrot,Bro,G-F,25.69,13,20.6,43,18.1,9.6,15,0.8,34,0.559,63,0.365,0.552,0.574,9.2,2.2,5.7,1.2,8.2,0.54,0.15,0.85,5.6,110.4,104.6
,Markieff Morris,Lal,F,31.37,13,15.4,32.1,12.8,10,5,0.8,17,0.588,35,0.343,0.538,0.554,4.6,4.2,14.6,0.8,6.9,0.08,0.38,0.46,6.5,114.2,96.5
,Dennis Schroder,Lal,G,27.34,13,30.9,64.5,22.3,15.1,37,0.784,120,0.45,43,0.372,0.479,0.516,14.2,4.1,7,4.8,21.4,0.85,0.23,2.46,8.5,103.5,99.7
,Landry Shamet,Bro,G,23.84,13,17.7,37,14.9,13.6,16,0.875,16,0.438,47,0.298,0.444,0.5,5.4,1.5,4.5,1.2,8.7,0.69,0.08,0.85,4.8,97.8,107.5
,Jarrett Allen,Bro,C,22.74,12,26.6,55.5,15.1,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,20.5,1.7,8.4,0.58,1.58,1.83,8.8,135.1,102.6
,Marvin Bagley III,Sac,F,21.84,12,24.9,51.9,23.9,13,41,0.585,100,0.46,29,0.345,0.473,0.496,12.2,7.8,17.2,0.9,5.5,0.33,0.58,1.83,7.1,97,109
,LaMelo Ball,Cha,G,19.4,13,25.4,52.9,23.8,15.7,26,0.692,83,0.458,61,0.344,0.483,0.505,12.1,7,14.4,6.3,39.1,1.62,0.38,2.23,12.8,107.6,97.9
,Harrison Barnes,Sac,F,28.63,12,34.7,72.3,18.7,10.3,59,0.797,98,0.561,41,0.415,0.579,0.63,17.3,6.8,10.9,3.1,13,0.75,0.25,1.58,8.2,123.4,118.2
,RJ Barrett,Nyk,F-G,20.59,12,37.9,79,23.1,7.9,57,0.702,142,0.444,54,0.185,0.398,0.443,16.3,7.3,10.2,3.4,14.2,0.83,0.17,1.58,7.8,96.9,107.7
,Nicolas Batum,Lac,G-F,32.09,12,29.1,60.6,12.6,8.1,19,0.895,29,0.621,53,0.434,0.64,0.675,10.2,5.3,10.7,3,14.5,1.17,0.25,0.67,7.5,140.6,107.5
,Patrick Beverley,Lac,G,32.51,12,26.4,55,14.1,11,13,0.769,28,0.393,55,0.436,0.566,0.586,8.7,4.3,9.4,1.9,10.1,0.83,0.83,0.92,6.3,120,102.9
